age,job,marital,education,balance,housing,loan,campaign,previous,poutcome,deposit
59,admin.,married,secondary,2343,yes,no,1,0,unknown,yes
56,admin.,married,secondary,45,no,no,1,0,unknown,yes
41,technician,married,secondary,1270,yes,no,1,0,unknown,yes
55,services,married,secondary,2476,yes,no,1,0,unknown,yes
54,admin.,married,tertiary,184,no,no,2,0,unknown,yes
42,management,single,tertiary,0,yes,yes,2,0,unknown,yes
56,management,married,tertiary,830,yes,yes,1,0,unknown,yes
60,retired,divorced,secondary,545,yes,no,1,0,unknown,yes
37,technician,married,secondary,1,yes,no,1,0,unknown,yes
28,services,single,secondary,5090,yes,no,3,0,unknown,yes
38,admin.,single,secondary,100,yes,no,1,0,unknown,yes
30,blue-collar,married,secondary,309,yes,no,2,0,unknown,yes
29,management,married,tertiary,199,yes,yes,4,0,unknown,yes
46,blue-collar,single,tertiary,460,yes,no,2,0,unknown,yes
31,technician,single,tertiary,703,yes,no,2,0,unknown,yes
35,management,divorced,tertiary,3837,yes,no,1,0,unknown,yes
32,blue-collar,single,primary,611,yes,no,3,0,unknown,yes
49,services,married,secondary,-8,yes,no,1,0,unknown,yes
41,admin.,married,secondary,55,yes,no,2,0,unknown,yes
49,admin.,divorced,secondary,168,yes,yes,1,0,unknown,yes
28,admin.,divorced,secondary,785,yes,no,2,0,unknown,yes
43,management,single,tertiary,2067,yes,no,1,0,unknown,yes
43,management,divorced,tertiary,388,yes,no,2,0,unknown,yes
43,blue-collar,married,primary,-192,yes,no,2,0,unknown,yes
37,unemployed,single,secondary,381,yes,no,2,0,unknown,yes
35,blue-collar,single,secondary,40,yes,no,4,0,unknown,yes
31,technician,single,tertiary,22,yes,no,3,0,unknown,yes
43,blue-collar,single,secondary,3,yes,no,3,0,unknown,yes
31,admin.,married,secondary,307,yes,no,1,0,unknown,yes
28,blue-collar,single,secondary,759,yes,no,1,0,unknown,yes
32,blue-collar,married,secondary,-1,yes,no,1,0,unknown,yes
60,technician,married,primary,65,yes,no,2,0,unknown,yes
26,blue-collar,single,secondary,82,yes,no,1,0,unknown,yes
40,blue-collar,married,secondary,10,yes,no,2,0,unknown,yes
33,blue-collar,divorced,primary,390,yes,no,2,0,unknown,yes
32,management,single,tertiary,311,no,no,2,0,unknown,yes
35,blue-collar,married,primary,414,no,no,4,0,unknown,yes
33,management,divorced,secondary,5,yes,no,1,0,unknown,yes
38,management,married,tertiary,119,yes,no,4,0,unknown,yes
23,entrepreneur,single,primary,4,yes,no,2,0,unknown,yes
60,blue-collar,married,primary,1262,yes,yes,1,0,unknown,yes
48,management,married,tertiary,1949,yes,no,2,0,unknown,yes
